Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Fwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,act_data_pkt_fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,9758,235,7,10505,188,61,38,48.64,6.37,39,17,27.56,5.49,1039678.8,22564.2312,40.49,4.75,48,36,9758,41.7,8.2,68,34,9758,1626.33,145.46,1917,1481,0,0,4700,140,24590.2769,774.6092,23.07,65.6,48.95,7.27,56.18,0,139,3,0,2,235,1441.78,156.76,1755,1128,495.26,36.46,568,422,DoS
53,6294,295,4,9894,39,41,27,33.88,4.04,15,7,10.63,1.96,1576887.54,46736.5566,21.12,2.56,26,19,6294,21.41,2.94,31,18,6294,2098,159.23,2416,1939,0,0,5900,80,49747.9726,682.6229,11.06,45.47,33.47,4.72,22.07,0,194,1,0,0,295,1504.56,150.19,1805,1204,16.11,2.32,21,11,DoS
143,2772,1100,8,201570,316,251,155,185.97,29.94,57,29,42.79,7.07,70954237.95,399263.5718,2.5,0.25,3,2,2772,2.52,0.24,3,2,2772,396,26.16,448,370,0,0,22000,160,362491.3969,2792.4792,30.96,287.41,183.73,32.24,1074.18,0,636,2,0,1,1100,1684.91,252.57,2190,1180,368.74,52.54,474,264,DoS
3306,4769,1153,6,252513,198,261,158,198.04,27.08,41,28,34.25,3.21,54154691.43,225425.8423,4.12,0.7,6,3,4769,4.14,0.27,5,4,4769,953.8,74.3,1102,880,0,0,23060,120,254459.0977,1215.5861,30.71,289.87,196.1,29.63,873.62,0,700,1,0,4,1153,1918.3,249.18,2417,1420,256.84,21.55,300,214,DoS
3306,1583,774,16,60814,289,99,58,75.24,12.76,20,14,16.73,1.45,37897515.65,459241.8061,2.01,0.32,3,2,1583,2.05,0.22,3,2,1583,105.53,15.85,137,90,0,0,15480,320,499987.6695,9952.3957,13.73,116.97,74.04,15.38,240.38,0,450,1,0,1,774,1438.32,145.29,1729,1148,481.21,47.4,576,386,DoS
8080,5235,2408,5,372744,38,226,142,170.09,20.46,10,5,7.29,1.21,71441013.11,480482.6104,2.17,0.42,3,2,5235,2.17,0.27,3,2,5235,1308.75,175.68,1660,1133,0,0,48160,100,484461.3218,962.4447,5.33,240.62,169.53,21.55,470.76,0,1426,3,0,1,2408,935.98,88.36,1113,759,283.69,32.9,349,218,DoS
143,1509,1016,0,180575,0,244,127,170.99,28.28,0,0,0,0,108660337.9,727586.2465,1.49,0.24,2,1,1509,1.49,0.24,2,1,0,0,0,0,0,0,0,20320,0,726868.7835,0,78.21,256.54,171.25,27.87,692.61,0,633,3,0,1,1016,1558.78,171.27,1901,1216,458.56,23.02,505,413,DoS
25,896,188,0,31695,0,197,143,165.84,12.47,0,0,0,0,37557241.96,203535.0902,4.79,0.54,6,4,896,4.79,0.78,7,4,0,0,0,0,0,0,0,3760,0,226727.4674,0,129.23,201.95,166.69,12.83,162.25,0,108,2,0,0,188,845.3,69.65,985,706,426.44,46.72,520,333,DoS
80,1571,59,1,4639,52,118,74,87.84,10.54,67,35,50.99,7.83,3127544.49,41380.4929,26.63,2.33,31,24,1571,27.09,3.6,34,23,0,0,0,0,0,0,0,1180,20,39289.7417,612.7254,42.34,110.78,85.76,11.99,152.01,0,36,1,0,1,59,364.72,45.37,455,274,460.64,38.51,538,384,DoS
25,1202,735,0,99289,0,197,94,137.24,24.78,0,0,0,0,77049835.24,663854.9134,1.64,0.33,2,1,1202,1.64,0.1,2,2,0,0,0,0,0,0,0,14700,0,599516.3838,0,58.56,224.72,137.16,25.65,662,0,418,3,0,2,735,435.36,24.79,485,386,140.26,12.58,165,115,DoS
3389,100,451,3,79454,114,236,141,172.83,23.7,52,30,40.66,5.54,812151884.6,4389268.777,0.22,0.02,0,0,100,0.22,0.02,0,0,100,50,4.89,60,45,0,0,9020,60,4906221.6,28420.2922,24.97,246.94,169.02,26.43,680.11,0,310,4,0,1,451,1759.02,218.93,2197,1321,402.55,45.95,494,311,DoS
21,991,533,8,78588,256,162,113,135.19,13.57,46,23,34.73,5.7,78062434.93,549843.7102,1.84,0.26,2,2,991,1.86,0.35,3,2,991,141.57,16.91,175,125,0,0,10660,160,547878.078,8514.7781,26.95,180.15,133.52,18.04,319.18,0,304,2,0,1,533,248.14,30.49,309,187,402.19,56.46,515,289,DoS
22,7031,505,0,45381,0,129,68,84.63,16.02,0,0,0,0,6020101.35,68795.0429,13.95,2.05,19,12,7031,13.95,1.61,19,12,0,0,0,0,0,0,0,10100,0,72079.1126,0,41.54,138.58,84.01,16.28,256.36,0,288,1,0,3,505,1977.16,167.66,2312,1642,404.41,31.6,468,341,DoS
110,179,540,0,30659,0,88,37,58.15,10.39,0,0,0,0,172367030.7,2898000.726,0.33,0.05,0,0,179,0.33,0.02,0,0,0,0,0,0,0,0,0,10800,0,2785101.475,0,18.84,87.74,57.32,10.28,111.37,0,326,2,0,3,540,593.23,42.39,678,508,373.36,31.76,437,310,DoS
3306,608,98,14,17915,757,251,124,165.61,31.3,68,48,57.74,5.06,28520110.55,198974.2775,5.48,0.76,8,5,608,6.27,0.36,7,6,608,46.77,8.81,64,38,0,0,1960,280,162448.2628,20958.416,51.37,234.23,148.68,43.89,1925.32,0,48,3,0,0,98,530.42,77.27,685,376,219.14,12.28,244,195,DoS
3389,705,891,0,28549,0,39,31,34.47,1.77,0,0,0,0,40435746.8,1345449.401,0.79,0.11,1,1,705,0.79,0.11,1,1,0,0,0,0,0,0,0,17820,0,1363853.801,0,29.03,41.25,34.39,1.8,3.15,0,523,2,0,2,891,1393.29,194.96,1783,1003,336.31,38.72,414,259,DoS
21,544,924,9,39861,260,53,44,46.82,2.9,37,26,31.15,2.72,76155005.24,1735266.858,0.58,0.05,1,1,544,0.59,0.04,1,1,544,68,9.39,87,59,0,0,18480,180,1747949.101,16247.2653,23.69,57.43,46.67,3.35,10.87,0,575,0,0,2,924,1838.99,132.84,2105,1573,35.11,2.78,41,30,DoS
3389,100,574,2,98813,114,227,133,174.08,23.08,64,50,56.82,3.48,917889606.1,5827057.755,0.17,0.02,0,0,100,0.17,0.02,0,0,100,100,11.58,123,88,0,0,11480,40,5235450.636,18010.3581,58.93,258.91,173.7,24.57,533.65,0,346,2,0,5,574,153.94,9.22,172,136,81.37,7.53,96,66,DoS
3389,674,33,4,986,166,43,25,30.27,5.1,45,33,39.27,3.05,1850548.89,59335.8972,18.72,0.96,20,18,674,21.06,2.41,28,19,674,224.67,27.32,279,197,0,0,660,80,51294.5215,5602.1416,17.69,43.12,31.99,5.5,27.63,0,17,3,0,6,33,1420.29,93.13,1607,1234,379.11,54.89,489,269,DoS
8080,2187,126,1,23170,41,237,156,190.36,18.59,53,31,42.28,5.57,11161139.46,58846.7682,17.36,1.86,21,16,2187,17.5,1.5,21,16,0,0,0,0,0,0,0,2520,20,62562.229,449.1081,48.61,251.81,190.5,21.8,433.18,0,80,1,0,3,126,738.72,101.02,941,537,457.38,42.13,542,373,DoS
53,370,241,2,15738,80,89,62,69.56,6.75,49,38,43.51,2.89,43274057.48,703602.0696,1.53,0.14,2,1,370,1.54,0.17,2,1,370,370,73.1,516,297,0,0,4820,40,716315.3652,5420.8261,40.46,87.15,69.84,6.48,43.14,0,138,2,0,2,241,1642.45,131.14,1905,1380,91.75,6.48,105,79,DoS
3389,538,232,0,39187,0,181,144,155.53,9.61,0,0,0,0,79418763.95,432627.826,2.33,0.33,3,2,538,2.33,0.26,3,2,0,0,0,0,0,0,0,4640,0,437968.8674,0,127.15,181.84,154.51,9.16,90.11,0,143,3,0,2,232,1390.28,114.7,1620,1161,352.41,25.99,404,300,DoS
80,2360,723,0,90100,0,157,114,131.44,14.1,0,0,0,0,39513335.24,320640.5326,3.27,0.22,4,3,2360,3.27,0.64,6,3,0,0,0,0,0,0,0,14460,0,305983.5481,0,88.33,166.52,131.07,14.01,200.66,0,459,2,0,2,723,1763.67,241.11,2246,1281,172.6,21.86,216,129,DoS
443,17288,428,1,82274,25,230,144,174.72,22.03,35,15,24.8,4.95,4929103.88,26623.6494,40.39,5.91,55,34,17288,40.49,2.98,48,38,0,0,0,0,0,0,0,8560,20,22563.4422,54.3974,29.49,236.2,175.32,22.55,475.57,0,269,1,0,0,428,1760.33,247.34,2255,1266,399.44,43.61,487,312,DoS
21,4751,1717,2,185040,2,134,79,103.4,13.68,2,1,1.32,0.25,42811485.19,327056.8048,2.77,0.28,3,2,4751,2.77,0.3,4,2,4751,4751,606.73,5964,4144,0,0,34340,40,394924.385,426.8124,1.31,148.07,103.23,13.74,199.26,0,1026,3,0,2,1717,690.89,101.75,894,487,69.05,4.73,79,60,DoS
22,2114,465,2,76155,88,192,147,160.7,10.7,54,35,44.38,4.66,37440149.35,240377.0365,4.54,0.84,6,4,2114,4.56,0.46,6,4,2114,2114,272.53,2659,1841,0,0,9300,40,218920.497,902.8704,44.72,192.49,160.46,13.03,160,0,258,1,0,0,465,1798.11,103.68,2005,1591,272.28,38.53,349,195,DoS
21,1436,350,1,57714,3,209,138,170.16,24.01,4,2,3.22,0.56,38284434.85,243901.1471,4.1,0.37,5,4,1436,4.11,0.51,6,4,0,0,0,0,0,0,0,7000,20,251429.0754,686.8053,2.01,233.35,168.97,26.37,716.9,0,199,2,0,2,350,942.46,60.59,1064,821,210.66,18,247,175,DoS
5900,401,852,10,27153,500,40,28,31.3,3.53,66,31,48.11,8.77,71585170.66,1941257.953,0.47,0.04,1,0,401,0.47,0.06,1,0,401,44.56,2.45,49,42,0,0,17040,200,2190842.691,25180.4564,17.13,62.1,31.58,4.1,15.11,0,511,4,0,3,852,992.04,137.59,1267,717,400.93,42.02,485,317,DoS
3389,740,40,2,2986,84,112,68,80.57,10.63,50,29,39.33,5.23,3769295.97,60936.7121,18.05,2.32,22,16,740,18.97,2.79,25,16,740,740,55.99,852,684,0,0,800,40,56885.8523,2542.5497,41.9,108.19,78.62,13.4,194.64,0,28,1,0,0,40,1904.04,172.71,2249,1559,410.1,56.13,522,298,DoS
443,4374,73,3,6353,63,142,68,94.48,17.55,23,18,20.44,1.22,1574682.41,18094.2669,58.32,3.73,66,55,4374,60.75,9.89,96,51,4374,2187,348.39,2884,1839,0,0,1460,60,16190.6977,711.4122,18.05,118.64,90.4,21.51,479.34,0,39,0,0,4,73,1535.66,160.37,1856,1215,20.07,1.67,23,17,DoS
8080,7146,1523,0,182432,0,155,102,124.75,11.76,0,0,0,0,23739826.46,219064.2328,4.7,0.43,6,4,7146,4.7,0.68,6,4,0,0,0,0,0,0,0,30460,0,203389.2112,0,86.99,158.2,124.34,11.82,151.9,0,970,1,0,3,1523,293.73,28.63,351,236,332.85,17.12,367,299,DoS
8080,596,120,0,19645,0,196,114,147.86,20.08,0,0,0,0,32911278.32,189475.1799,5.01,0.68,6,4,596,5.01,0.93,8,4,0,0,0,0,0,0,0,2400,0,202827.8023,0,98.31,192.63,145.82,17.46,285.85,0,68,4,0,4,120,202.48,13.04,229,176,464.05,34.94,534,394,DoS
22,2040,766,2,101841,109,149,104,123.93,10.05,65,48,56.47,4.46,47510361.75,400814.9649,2.66,0.32,3,2,2040,2.67,0.52,4,2,2040,2040,319.04,2678,1721,0,0,15320,40,390236.4623,930.7699,52.72,155.62,124.49,10.96,120.7,0,454,1,0,2,766,317.8,35.85,390,246,368.34,21.23,411,326,DoS
443,100,256,1,9929,42,44,35,38.33,2.14,55,24,39.71,7.67,100013326,2390367.938,0.39,0.05,0,0,100,0.39,0.04,0,0,0,0,0,0,0,0,0,5120,20,2625152.516,9621.3643,32.4,46.82,38.47,2,4.48,0,158,3,0,2,256,1401.08,180.73,1763,1040,142.83,20.87,185,101,DoS
21,652,246,1,10401,10,60,39,48.03,5.5,13,8,10.52,1.06,14889666.89,386089.1497,2.65,0.35,4,2,652,2.66,0.29,3,2,0,0,0,0,0,0,0,4920,20,411187.4033,1652.5055,11.24,64.82,48.51,5.98,33.07,0,166,2,0,4,246,230.1,12.34,255,205,475.51,34.13,544,407,DoS
143,533,10,6,614,59,82,49,62.23,7.39,13,7,9.93,1.3,1342478.85,27990.1296,35.53,5.44,49,30,533,59.22,3.76,73,55,533,106.6,21.22,149,85,0,0,200,120,18574.1904,10831.8405,8.18,78.7,43.54,26.44,686.14,0,9,3,0,2,10,503.59,37.41,578,429,327.98,42.12,412,244,DoS
53,1474,271,2,25527,3,124,69,93.68,16.38,2,1,1.39,0.21,18518495.33,203681.8616,5.42,0.42,6,5,1474,5.46,1.06,8,4,1474,1474,255.5,1985,1218,0,0,5420,40,176093.8923,1264.6591,1.44,141.55,93.9,18.84,374.61,0,160,0,0,2,271,1327.7,66.63,1461,1194,237.27,32.76,303,172,DoS
443,3542,1189,1,182287,9,212,99,148.91,28.39,10,8,8.75,0.6,51112949.84,352109.3326,2.98,0.27,4,3,3542,2.98,0.23,4,3,0,0,0,0,0,0,0,23780,20,353983.7047,262.6049,9.57,236.46,148.49,28.78,884.54,0,716,3,0,1,1189,1139.9,169.51,1479,801,56.24,3.93,64,48,DoS
110,2067,1492,2,59046,94,45,34,37.9,2.64,64,40,52.21,5.97,26649116.63,752254.8542,1.38,0.12,2,1,2067,1.39,0.18,2,1,2067,2067,223.84,2515,1843,0,0,29840,40,679931.6444,930.9042,29.91,50.24,37.9,2.69,7.64,0,925,3,0,1,1492,232.04,33.14,298,166,182.15,26.45,235,129,DoS
8080,11553,354,4,25873,128,80,64,69.69,4.18,41,31,36.16,2.61,2459317.95,31380.8375,32.36,5.31,45,27,11553,32.73,3.35,44,29,11553,3851,220.03,4291,3631,0,0,7080,80,27644.0571,345.2595,36.94,79.69,69.32,5.26,26.34,0,210,3,0,3,354,674.65,44.15,763,586,304.01,43.88,392,216,DoS
8080,3514,585,0,80079,0,188,116,147.02,17.91,0,0,0,0,20843566.29,156637.8509,6.02,0.77,8,5,3514,6.02,1.17,8,5,0,0,0,0,0,0,0,11700,0,179266.6661,0,91.28,200.04,147.6,18.33,302.89,0,356,1,0,3,585,156.75,19.27,195,118,487.44,32.03,552,423,DoS
3306,14535,415,0,31083,0,92,57,75.64,9.16,0,0,0,0,1973558.14,26602.3178,35.11,6.56,50,29,14535,35.11,6.43,52,29,0,0,0,0,0,0,0,8300,0,29252.743,0,43.04,101,75.67,9.13,73.44,0,254,0,0,0,415,960.08,104.24,1169,752,397.23,44.52,486,308,DoS
110,2224,2378,0,266389,0,156,81,110.08,17.6,0,0,0,0,123240993.9,998951.4865,0.94,0.08,1,1,2224,0.94,0.16,1,1,0,0,0,0,0,0,0,47560,0,1051737.442,0,33.03,167.76,110.48,18.02,287.37,0,1433,2,0,4,2378,754.62,105.63,966,543,72.64,9.52,92,54,DoS
8080,510,218,0,5548,0,34,22,26.69,3.45,0,0,0,0,10599620.87,411345.3722,2.35,0.18,3,2,510,2.35,0.29,3,2,0,0,0,0,0,0,0,4360,0,429610.4672,0,16.84,39.11,26.72,3.66,13.21,0,116,3,0,1,218,494.47,37.67,570,419,343.55,39.04,422,265,DoS
443,4005,150,5,19025,64,166,100,124.81,14.55,16,9,12.4,1.76,5094863.13,42483.6935,26.01,3.71,33,22,4005,26.88,4.68,40,22,4005,1001.25,59.31,1120,942,0,0,3000,100,36149.8607,1137.4334,11.43,161.83,121.26,24.35,613.16,0,91,1,0,4,150,1832.23,142.03,2116,1548,354.17,35.19,425,284,DoS
110,282,2051,1,247061,3,123,97,111.12,7.04,5,3,3.72,0.44,871283097.9,7847521.623,0.14,0.01,0,0,282,0.14,0.02,0,0,0,0,0,0,0,0,0,41020,20,7660693.819,3362.2379,3.25,132.26,111.07,7.33,51.34,0,1200,0,0,1,2051,909.02,68.09,1045,773,441.4,63.37,568,315,DoS
110,815,187,1,8341,37,54,40,46.54,4.58,42,26,34.31,4.03,10923498.54,212215.6291,4.36,0.71,6,4,815,4.38,0.22,5,4,0,0,0,0,0,0,0,3740,20,223456.398,1211.9034,32.8,60.87,46.5,4.73,21.18,0,105,3,0,3,187,1363.99,166.91,1698,1030,44.3,5.71,56,33,DoS
80,286,2121,2,84965,62,45,30,37.86,4.01,42,27,34.35,3.86,272678077.5,7613469.853,0.13,0.02,0,0,286,0.13,0.02,0,0,286,286,39.15,364,247,0,0,42420,40,7661234.458,7438.913,25.31,50.51,37.74,4.01,15.9,0,1315,3,0,2,2121,1245.6,63.66,1373,1118,0.35,0.02,0,0,DoS
80,7386,2297,7,290987,275,175,113,131.43,16.14,41,31,36.04,2.64,41144047.5,333807.6419,3.21,0.32,4,3,7386,3.22,0.31,4,3,7386,1231,73.14,1377,1158,0,0,45940,140,325181.9497,1039.8818,34.22,180.75,131.2,16.99,263.86,0,1343,4,0,2,2297,674.99,35.94,747,603,199.93,23.18,246,154,DoS
8080,100,855,0,76414,0,111,79,91.09,8.22,0,0,0,0,745628651.3,8162211.756,0.12,0.01,0,0,100,0.12,0.02,0,0,0,0,0,0,0,0,0,17100,0,8300338.442,0,65.5,120.53,91.37,8.38,66.24,0,483,0,0,4,855,1353.57,128.72,1611,1096,180.04,14.9,210,150,DoS
25,8424,161,4,23757,151,177,145,160.97,8.11,44,30,37.3,3.45,3024689.99,18880.4817,51.37,8.04,68,43,8424,52.65,3.97,62,49,8424,2808,532.71,3873,2275,0,0,3220,80,19511.3738,450.8176,37.37,182.6,157.89,20.16,425.56,0,115,1,0,2,161,743.14,109.54,962,524,257.19,20.93,299,215,DoS
80,978,942,0,72595,0,109,54,75.29,13.63,0,0,0,0,67432508.97,995604.3938,1.04,0.17,1,1,978,1.04,0.11,1,1,0,0,0,0,0,0,0,18840,0,963729.5311,0,35.65,114.58,75.66,13.62,168.34,0,542,1,0,3,942,449.22,55.73,561,338,231.34,22.83,277,186,DoS
53,1034,269,1,46360,32,210,170,187.67,10.8,35,26,30.45,2.24,41675615.68,256388.5948,3.84,0.41,5,3,1034,3.86,0.75,6,3,0,0,0,0,0,0,0,5380,20,284485.6678,944.3028,27.49,211.29,187.1,14.25,220.07,0,146,2,0,4,269,927.62,123.18,1174,681,73.44,6.06,86,61,DoS
22,2138,28,4,3473,16,142,97,111.35,14.18,6,4,4.77,0.52,1503225.73,15714.4187,68.97,10.11,95,59,2138,79.19,11.61,124,68,2138,712.67,85.07,883,628,0,0,560,80,13858.2098,1938.9379,4.11,153.78,103.1,38.8,1664.36,0,17,3,0,2,28,154.2,20.77,196,113,61.87,8.55,79,45,DoS
22,4625,12,1,1117,1,142,76,97.68,15.54,2,1,1.28,0.24,221688.12,2673.8077,385.42,26.58,462,359,4625,420.45,28.5,524,392,0,0,0,0,0,0,0,240,20,2340.8907,199.1382,1.15,119.43,96.71,28.64,740.49,0,8,4,0,2,12,910.99,65.15,1041,781,270.3,32.38,335,206,DoS
8080,3586,16,2,928,108,68,40,54.21,7.41,74,43,58.56,7.66,272677.2,5461.3038,210.94,23.72,276,187,3586,239.07,18.73,287,220,3586,3586,449.69,4485,3136,0,0,320,40,4770.8861,532.2916,45.75,71.38,55.8,7.66,62.14,0,13,5,0,5,16,1552.06,171.37,1895,1209,50.52,4.57,60,41,DoS
3389,1455,4291,6,549149,10,165,127,143.87,8.93,2,1,1.61,0.22,401564139.6,3230964.238,0.34,0.05,0,0,1455,0.34,0.06,0,0,1455,291,41.8,375,249,0,0,85820,120,2679941.278,4042.5207,1.49,179.29,143.57,10.38,116.51,0,2618,3,0,0,4291,1307.68,91.76,1491,1124,153.44,9.2,172,135,DoS
22,8941,193,1,26552,33,162,113,136.04,11.95,43,29,36.1,3.4,2724475.18,21746.0826,46.33,5.9,60,40,8941,46.57,8.35,73,38,0,0,0,0,0,0,0,3860,20,21538.6165,107.0439,35.01,169.9,136.02,13.66,205.81,0,120,1,0,6,193,1603.48,207.01,2017,1189,371.22,25.09,421,321,DoS
5900,4887,69,16,7067,104,125,82,102.18,10.74,8,4,6.09,0.88,1425911.09,15844.0219,58.18,5.29,73,53,4887,71.87,4.54,83,67,4887,325.8,48.05,422,278,0,0,1380,320,13284.6942,3100.5546,4.44,124.66,83.96,38.48,1490.11,0,40,1,0,2,69,1009.25,71.06,1151,867,19.33,2.68,25,14,DoS
3306,866,1097,1,110945,44,130,100,109.92,9.02,53,29,40.68,6.05,115380977.8,1334830.241,0.79,0.16,1,1,866,0.79,0.15,1,1,0,0,0,0,0,0,0,21940,20,1263687.375,1136.7271,50.03,139.45,110.11,9.3,90.66,0,626,0,0,0,1097,304.07,41.31,387,221,484.3,39.88,564,405,DoS
